epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1001.86,1.71491,2.17723,1.32293,0.52726,0.49472,0.48029,0.21051,2.17142,2.81602,1.58357,0.00104231,0.00104231,0.00104231
43,1024.14,1.70966,2.18184,1.31957,0.60625,0.46692,0.48708,0.18754,2.19312,2.86027,1.63803,0.00103288,0.00103288,0.00103288
44,1044.2,1.71736,2.17819,1.32881,0.63252,0.51582,0.52943,0.21116,2.13394,2.70677,1.5751,0.00102345,0.00102345,0.00102345
45,1066.68,1.7109,2.14017,1.32276,0.57729,0.47833,0.50108,0.20459,2.12185,2.78392,1.57054,0.00101402,0.00101402,0.00101402
46,1086.02,1.69678,2.07198,1.29288,0.59449,0.52973,0.52259,0.21145,2.07552,2.71892,1.4856,0.00100459,0.00100459,0.00100459
47,1108.02,1.72327,2.12144,1.29555,0.64592,0.47201,0.51672,0.22051,2.1206,2.76217,1.54285,0.000995156,0.000995156,0.000995156
48,1133.51,1.69526,2.14151,1.30339,0.57151,0.49129,0.4961,0.20333,2.20526,2.9657,1.59623,0.000985724,0.000985724,0.000985724
49,1164.38,1.71503,2.11381,1.29755,0.58875,0.49007,0.51331,0.20082,2.14123,2.81359,1.53342,0.000976293,0.000976293,0.000976293
50,1187.07,1.72141,2.14889,1.30725,0.55219,0.43001,0.46519,0.18755,2.13395,2.99359,1.54548,0.000966861,0.000966861,0.000966861
51,1206.6,1.66572,2.07754,1.30255,0.58648,0.46397,0.47588,0.18486,2.23008,2.95961,1.60645,0.00095743,0.00095743,0.00095743
52,1228.96,1.69272,2.0646,1.30081,0.57129,0.53262,0.52944,0.23229,2.11645,2.81712,1.51228,0.000947999,0.000947999,0.000947999
53,1249.48,1.68394,2.03514,1.28382,0.57783,0.53686,0.53307,0.22416,2.22489,2.84364,1.58556,0.000938567,0.000938567,0.000938567
54,1270.17,1.66878,2.02191,1.2907,0.6189,0.53545,0.55206,0.24243,2.12053,2.66251,1.52185,0.000929136,0.000929136,0.000929136
55,1295.37,1.66517,2.00192,1.29187,0.61868,0.50521,0.53218,0.21696,2.15311,2.65792,1.56609,0.000919704,0.000919704,0.000919704
56,1315.03,1.642,2.00375,1.28533,0.5197,0.51253,0.48369,0.20093,2.14823,2.77383,1.59167,0.000910273,0.000910273,0.000910273
57,1334.95,1.68618,2.01868,1.27378,0.49928,0.53371,0.50934,0.21621,2.14494,2.83243,1.60975,0.000900842,0.000900842,0.000900842
58,1362.01,1.65281,2.0177,1.29984,0.57279,0.49002,0.49494,0.19321,2.18926,2.84148,1.62856,0.00089141,0.00089141,0.00089141
59,1385.78,1.66913,2.04599,1.29805,0.59271,0.5329,0.53396,0.24016,2.0766,2.72376,1.52777,0.000881979,0.000881979,0.000881979
60,1406.63,1.65424,1.98068,1.27401,0.52246,0.52897,0.4957,0.21335,2.19198,2.90798,1.56194,0.000872547,0.000872547,0.000872547
61,1455.21,1.64779,2.00513,1.30175,0.64334,0.47399,0.53032,0.21429,2.17431,2.81762,1.59016,0.000863116,0.000863116,0.000863116
62,1476.98,1.65635,1.95554,1.27246,0.65055,0.49316,0.53366,0.24027,2.21475,2.80135,1.56323,0.000853685,0.000853685,0.000853685
63,1496.95,1.64826,1.9327,1.26844,0.66563,0.49406,0.53931,0.22465,2.24734,2.86424,1.63502,0.000844253,0.000844253,0.000844253
64,1517.39,1.65276,1.92239,1.28088,0.65441,0.52132,0.56557,0.2417,2.17622,2.77479,1.57818,0.000834822,0.000834822,0.000834822
65,1538.55,1.6437,1.91856,1.27001,0.61367,0.50779,0.50476,0.21414,2.22785,3.05579,1.61573,0.00082539,0.00082539,0.00082539
