epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9292,2.17346,5.01057,1.67739,0.37241,0.21438,0.21759,0.07088,2.41093,4.25022,1.78688,0.000472003,0.000472003,0.000472003
2,74.0154,2.09209,3.92024,1.56732,0.28361,0.31926,0.2406,0.08612,2.3314,4.06147,1.7932,0.000942077,0.000942077,0.000942077
3,95.9349,2.09337,3.62536,1.58716,0.25238,0.35935,0.15646,0.05204,2.48414,4.91036,1.77274,0.00140586,0.00140586,0.00140586
4,116.242,2.08181,3.37409,1.54183,0.3413,0.33396,0.24764,0.09807,2.23893,3.41162,1.66565,0.00140071,0.00140071,0.00140071
5,138.395,2.05605,3.30477,1.56956,0.36779,0.35341,0.27229,0.09366,2.29074,3.79235,1.71985,0.00139127,0.00139127,0.00139127
6,172.386,2.00159,3.11727,1.48863,0.28865,0.39829,0.31416,0.10448,2.31198,3.6293,1.72744,0.00138184,0.00138184,0.00138184
7,202.411,1.97022,3.01202,1.49011,0.3539,0.37011,0.29243,0.1058,2.21738,3.22256,1.63043,0.00137241,0.00137241,0.00137241
8,223.656,1.95318,2.87961,1.47801,0.4613,0.45087,0.3839,0.1455,2.22567,3.28042,1.64089,0.00136298,0.00136298,0.00136298
9,244.307,1.93662,2.80991,1.45795,0.43846,0.40871,0.35994,0.12479,2.2575,3.18064,1.69088,0.00135355,0.00135355,0.00135355
10,264.184,1.96463,2.834,1.45905,0.43039,0.40634,0.31405,0.12621,2.25266,3.28516,1.57854,0.00134412,0.00134412,0.00134412
11,284.395,1.89088,2.72927,1.47063,0.42398,0.39225,0.35105,0.12039,2.13163,3.10631,1.52678,0.00133469,0.00133469,0.00133469
12,306.188,1.88178,2.73316,1.43869,0.43688,0.46203,0.38421,0.14832,2.1645,3.03219,1.59633,0.00132525,0.00132525,0.00132525
13,327.769,1.93701,2.71661,1.42524,0.44964,0.39906,0.3897,0.17366,2.15521,3.0805,1.55438,0.00131582,0.00131582,0.00131582
14,348.799,1.88819,2.6836,1.43094,0.50223,0.44151,0.42418,0.1654,2.12507,3.1258,1.5453,0.00130639,0.00130639,0.00130639
15,369.277,1.86827,2.64118,1.41121,0.52256,0.42569,0.3948,0.1563,2.156,3.27332,1.60778,0.00129696,0.00129696,0.00129696
16,390.085,1.8696,2.65871,1.43474,0.46469,0.41416,0.38625,0.15482,2.18588,2.94866,1.58634,0.00128753,0.00128753,0.00128753
17,417.507,1.86716,2.56415,1.40174,0.47003,0.46602,0.4178,0.17706,2.16605,2.89567,1.59308,0.0012781,0.0012781,0.0012781
18,440.603,1.83014,2.5744,1.40808,0.51744,0.49956,0.47959,0.19957,2.09589,3.19314,1.55939,0.00126867,0.00126867,0.00126867
19,460.495,1.84702,2.50301,1.37864,0.46026,0.39791,0.3796,0.1679,2.18666,3.15701,1.54413,0.00125923,0.00125923,0.00125923
20,481.166,1.84486,2.55597,1.39973,0.5212,0.46193,0.46244,0.17987,2.05293,2.86004,1.51758,0.0012498,0.0012498,0.0012498
21,502.806,1.8185,2.47107,1.38964,0.59654,0.50146,0.49895,0.20501,2.07269,2.85182,1.54544,0.00124037,0.00124037,0.00124037
22,522.237,1.80209,2.41173,1.36326,0.60424,0.47922,0.50631,0.20799,2.12406,2.75661,1.56411,0.00123094,0.00123094,0.00123094
23,541.784,1.82907,2.39759,1.33993,0.47289,0.45005,0.40798,0.17121,2.0699,3.03517,1.49202,0.00122151,0.00122151,0.00122151
24,565.298,1.78899,2.43667,1.37972,0.47096,0.33943,0.30856,0.10581,2.33224,3.34635,1.78155,0.00121208,0.00121208,0.00121208
25,585.922,1.80087,2.40318,1.3814,0.65344,0.4771,0.52584,0.20061,2.18486,2.7673,1.58419,0.00120265,0.00120265,0.00120265
26,607.053,1.8088,2.37991,1.37107,0.55107,0.43786,0.46112,0.1901,2.10506,2.93195,1.53476,0.00119322,0.00119322,0.00119322
27,628.26,1.78707,2.3549,1.35303,0.56517,0.47804,0.49149,0.21478,2.07868,2.74968,1.51715,0.00118378,0.00118378,0.00118378
28,649.802,1.76185,2.35189,1.35885,0.50909,0.49945,0.44984,0.18867,2.09217,2.91839,1.49136,0.00117435,0.00117435,0.00117435
29,670.778,1.74797,2.3315,1.37048,0.55335,0.48483,0.47416,0.19141,2.08244,2.96386,1.54162,0.00116492,0.00116492,0.00116492
30,692.872,1.75196,2.28444,1.35914,0.53995,0.44529,0.4716,0.19121,2.15642,2.96181,1.5621,0.00115549,0.00115549,0.00115549
31,713.177,1.76225,2.32082,1.35817,0.59795,0.46516,0.48655,0.21301,2.10669,2.9413,1.54291,0.00114606,0.00114606,0.00114606
32,733.239,1.76515,2.36025,1.36026,0.56301,0.55548,0.52371,0.21292,2.07125,2.66799,1.52491,0.00113663,0.00113663,0.00113663
33,759.291,1.74869,2.29516,1.35081,0.53036,0.49559,0.46974,0.19082,2.11158,2.90375,1.55762,0.0011272,0.0011272,0.0011272
34,782.853,1.75838,2.26301,1.33645,0.61846,0.52672,0.53971,0.22912,2.07861,2.65009,1.50447,0.00111776,0.00111776,0.00111776
35,804.491,1.76798,2.2447,1.32348,0.53691,0.48142,0.48767,0.20883,2.08474,2.85437,1.50079,0.00110833,0.00110833,0.00110833
36,825.687,1.73693,2.23713,1.34295,0.58617,0.42045,0.46035,0.18477,2.13921,3.00406,1.54677,0.0010989,0.0010989,0.0010989
37,846.01,1.7337,2.16897,1.30968,0.62021,0.48055,0.48674,0.19614,2.13904,2.81418,1.52729,0.00108947,0.00108947,0.00108947
38,872.941,1.75141,2.20329,1.29784,0.60701,0.50859,0.54045,0.22513,2.0995,2.58297,1.52578,0.00108004,0.00108004,0.00108004
39,892.921,1.74247,2.19274,1.31926,0.51438,0.49419,0.47323,0.19785,2.10095,3.05043,1.55509,0.00107061,0.00107061,0.00107061
40,920.801,1.70353,2.14979,1.31958,0.62547,0.5324,0.55006,0.23128,2.09126,2.6984,1.53639,0.00106118,0.00106118,0.00106118
41,942.443,1.7359,2.13936,1.29437,0.58411,0.48872,0.46873,0.20289,2.17917,2.91964,1.56175,0.00105174,0.00105174,0.00105174
42,965.342,1.69909,2.08975,1.29564,0.5876,0.50654,0.49367,0.19463,2.23283,3.0122,1.58826,0.00104231,0.00104231,0.00104231
43,985.011,1.70236,2.08828,1.29949,0.64708,0.50995,0.52979,0.2156,2.12243,2.78582,1.53893,0.00103288,0.00103288,0.00103288
44,1005.85,1.7079,2.07231,1.30553,0.56383,0.50557,0.51644,0.20142,2.16518,2.78364,1.57516,0.00102345,0.00102345,0.00102345
45,1027.46,1.70169,2.10163,1.3072,0.59907,0.43412,0.48507,0.2138,2.16008,2.87566,1.53017,0.00101402,0.00101402,0.00101402
46,1047.23,1.70155,2.03549,1.2876,0.61624,0.50892,0.52862,0.23321,2.11335,2.76838,1.5165,0.00100459,0.00100459,0.00100459
47,1068.13,1.69762,2.02908,1.26993,0.58852,0.51153,0.52288,0.19678,2.13315,2.85304,1.5549,0.000995156,0.000995156,0.000995156
48,1098.37,1.68244,2.05762,1.27908,0.60086,0.45957,0.49872,0.21194,2.18028,2.92263,1.55264,0.000985724,0.000985724,0.000985724
49,1121.91,1.73387,2.05024,1.2922,0.55909,0.52779,0.50361,0.22273,2.15987,2.74014,1.53614,0.000976293,0.000976293,0.000976293
50,1142.03,1.70607,2.04876,1.28783,0.59616,0.54202,0.53219,0.22925,2.0829,2.7032,1.50703,0.000966861,0.000966861,0.000966861
51,1163.11,1.66613,2.00893,1.28326,0.60545,0.46663,0.48351,0.20289,2.22026,2.96722,1.59039,0.00095743,0.00095743,0.00095743
52,1183.04,1.67079,1.98202,1.27279,0.64318,0.49642,0.54234,0.24527,2.12163,2.81116,1.48318,0.000947999,0.000947999,0.000947999
53,1203.41,1.66893,1.96963,1.26641,0.58356,0.52169,0.5135,0.22092,2.24537,2.80735,1.5842,0.000938567,0.000938567,0.000938567
54,1225.85,1.66649,1.94666,1.27265,0.65279,0.50037,0.56225,0.23719,2.08713,2.62616,1.52492,0.000929136,0.000929136,0.000929136
55,1249.27,1.67266,1.94351,1.27183,0.59901,0.51619,0.53178,0.22794,2.16595,2.81667,1.56794,0.000919704,0.000919704,0.000919704
56,1268.87,1.62045,1.92563,1.25267,0.54597,0.52967,0.51425,0.20741,2.16228,2.89442,1.53703,0.000910273,0.000910273,0.000910273
57,1289.43,1.67597,1.95612,1.26243,0.5571,0.51019,0.51431,0.22268,2.15838,2.99428,1.55183,0.000900842,0.000900842,0.000900842
58,1315.37,1.63547,1.91921,1.27427,0.68146,0.48405,0.54068,0.23517,2.11797,2.76126,1.51791,0.00089141,0.00089141,0.00089141
59,1337.34,1.65226,1.96397,1.27719,0.57309,0.52256,0.51922,0.23083,2.15455,2.7984,1.52694,0.000881979,0.000881979,0.000881979
