epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2851,2.16644,4.72072,1.65401,0.34695,0.16666,0.17003,0.04968,2.38433,4.22103,1.72493,0.000472003,0.000472003,0.000472003
2,45.4828,2.06371,3.71252,1.57023,0.26656,0.31971,0.23697,0.06965,2.37127,3.93837,1.79212,0.000942077,0.000942077,0.000942077
3,63.5964,2.07943,3.43787,1.57494,0.30643,0.25372,0.2235,0.06596,2.42807,3.87043,1.84924,0.00140586,0.00140586,0.00140586
4,81.5635,2.04465,3.18819,1.50942,0.53008,0.21249,0.18038,0.05619,2.29021,4.10771,1.67596,0.00140071,0.00140071,0.00140071
5,98.4195,1.99826,3.10238,1.52609,0.36052,0.39251,0.29237,0.1097,2.20548,3.34493,1.64433,0.00139127,0.00139127,0.00139127
6,115.504,1.9676,2.96923,1.46886,0.43849,0.38151,0.32342,0.11776,2.27198,3.3782,1.68897,0.00138184,0.00138184,0.00138184
7,133.101,1.91644,2.82674,1.46194,0.39719,0.42377,0.35849,0.13243,2.19754,3.14639,1.67837,0.00137241,0.00137241,0.00137241
8,149.947,1.92156,2.74878,1.44526,0.39502,0.43194,0.37479,0.14243,2.20378,3.21168,1.62905,0.00136298,0.00136298,0.00136298
9,167.237,1.91232,2.7581,1.44252,0.44073,0.4114,0.3529,0.12159,2.25032,3.22129,1.71214,0.00135355,0.00135355,0.00135355
10,183.949,1.90174,2.74187,1.42798,0.46028,0.39945,0.38136,0.15459,2.2228,3.20962,1.62895,0.00134412,0.00134412,0.00134412
11,201.226,1.82757,2.64297,1.44672,0.37755,0.38861,0.33301,0.12889,2.2325,3.38365,1.69226,0.00133469,0.00133469,0.00133469
12,217.662,1.85781,2.66278,1.42394,0.19079,0.28327,0.1932,0.07081,2.40248,3.79521,1.92767,0.00132525,0.00132525,0.00132525
13,235.271,1.89704,2.61814,1.39838,0.5408,0.46159,0.46803,0.18434,2.14467,2.94623,1.60467,0.00131582,0.00131582,0.00131582
14,251.974,1.84256,2.56849,1.41014,0.4705,0.45562,0.41143,0.15792,2.104,2.8723,1.55209,0.00130639,0.00130639,0.00130639
15,269.349,1.8493,2.5788,1.40164,0.47265,0.47384,0.42733,0.16213,2.08583,3.0374,1.56902,0.00129696,0.00129696,0.00129696
16,285.835,1.83724,2.54076,1.41338,0.44264,0.42123,0.35369,0.13451,2.26986,3.46576,1.64661,0.00128753,0.00128753,0.00128753
17,302.555,1.84842,2.52909,1.37773,0.47927,0.45367,0.42077,0.16993,2.189,2.9693,1.65144,0.0012781,0.0012781,0.0012781
18,320.5,1.79312,2.47779,1.39288,0.49392,0.52138,0.47201,0.191,2.14155,2.98211,1.5992,0.00126867,0.00126867,0.00126867
19,337.154,1.82775,2.40469,1.36855,0.49524,0.48663,0.44648,0.17681,2.20578,2.8861,1.61036,0.00125923,0.00125923,0.00125923
20,355.105,1.81981,2.46742,1.39301,0.49989,0.51009,0.43677,0.19408,2.09189,2.8856,1.52914,0.0012498,0.0012498,0.0012498
21,371.889,1.81094,2.3946,1.39452,0.523,0.4553,0.45181,0.17333,2.108,2.77939,1.55499,0.00124037,0.00124037,0.00124037
22,389.273,1.77831,2.36341,1.36573,0.53738,0.49983,0.50198,0.19297,2.14858,2.8284,1.60787,0.00123094,0.00123094,0.00123094
23,406.201,1.79936,2.33254,1.32971,0.51079,0.50834,0.49135,0.20831,2.09487,2.99685,1.55328,0.00122151,0.00122151,0.00122151
24,423.958,1.75967,2.316,1.3551,0.49737,0.45045,0.45731,0.17178,2.20265,3.03803,1.64735,0.00121208,0.00121208,0.00121208
25,440.804,1.7847,2.33633,1.3719,0.48907,0.49153,0.43135,0.1852,2.15273,2.82695,1.58564,0.00120265,0.00120265,0.00120265
26,457.375,1.7602,2.29817,1.35398,0.50713,0.48331,0.4673,0.18534,2.24685,2.95046,1.63752,0.00119322,0.00119322,0.00119322
27,475.23,1.76416,2.25031,1.33059,0.51132,0.54269,0.5092,0.21213,2.14262,2.81221,1.57299,0.00118378,0.00118378,0.00118378
28,492.489,1.754,2.28349,1.34606,0.62115,0.48347,0.50598,0.20787,2.12226,2.74435,1.56142,0.00117435,0.00117435,0.00117435
29,510.106,1.72704,2.24184,1.36078,0.52786,0.47318,0.45706,0.19042,2.19134,2.88964,1.58942,0.00116492,0.00116492,0.00116492
30,526.956,1.74041,2.23008,1.34834,0.54745,0.50209,0.50073,0.20234,2.1452,2.79571,1.55934,0.00115549,0.00115549,0.00115549
31,544.523,1.71958,2.22013,1.33386,0.51536,0.48778,0.4873,0.2067,2.18231,2.86328,1.62932,0.00114606,0.00114606,0.00114606
32,561.224,1.71243,2.17238,1.33213,0.59506,0.49603,0.52267,0.21952,2.1254,2.78283,1.53436,0.00113663,0.00113663,0.00113663
33,579.189,1.70621,2.16586,1.32927,0.44607,0.51334,0.45939,0.19942,2.25715,2.922,1.63724,0.0011272,0.0011272,0.0011272
34,596.004,1.71836,2.12488,1.31815,0.57343,0.48029,0.49242,0.19999,2.14965,2.70925,1.57745,0.00111776,0.00111776,0.00111776
35,612.687,1.71604,2.1027,1.3065,0.61612,0.5038,0.52898,0.20713,2.18299,2.62561,1.62726,0.00110833,0.00110833,0.00110833
36,630.31,1.72277,2.13214,1.33087,0.53852,0.45631,0.44889,0.18601,2.13993,2.9728,1.57971,0.0010989,0.0010989,0.0010989
37,647.016,1.70836,2.08584,1.30404,0.53432,0.50324,0.4704,0.19335,2.25173,2.85248,1.617,0.00108947,0.00108947,0.00108947
38,664.993,1.72677,2.07451,1.28989,0.6086,0.49207,0.54006,0.1984,2.22753,2.75781,1.61329,0.00108004,0.00108004,0.00108004
39,681.889,1.71151,2.07146,1.31189,0.57246,0.47072,0.48506,0.1914,2.15365,2.80141,1.63315,0.00107061,0.00107061,0.00107061
40,699.691,1.67733,2.07066,1.31132,0.53465,0.46293,0.4941,0.19548,2.20392,2.95779,1.61557,0.00106118,0.00106118,0.00106118
41,716.508,1.70761,2.01409,1.28772,0.59442,0.54425,0.54704,0.21981,2.19079,2.82104,1.63051,0.00105174,0.00105174,0.00105174
42,734.207,1.6591,1.98194,1.27866,0.58563,0.45799,0.48739,0.21419,2.16978,2.85496,1.51917,0.00104231,0.00104231,0.00104231
43,750.922,1.67547,2.01861,1.27752,0.58507,0.50231,0.51327,0.20026,2.17274,2.92498,1.63951,0.00103288,0.00103288,0.00103288
44,768.284,1.66035,1.96125,1.27917,0.61346,0.50078,0.517,0.19232,2.29462,2.89632,1.66257,0.00102345,0.00102345,0.00102345
45,784.995,1.67098,1.95188,1.28579,0.60403,0.51009,0.53157,0.22798,2.20681,2.71914,1.59294,0.00101402,0.00101402,0.00101402
46,801.797,1.66548,1.97649,1.27868,0.62615,0.52708,0.53085,0.21919,2.11938,2.65875,1.57227,0.00100459,0.00100459,0.00100459
47,819.599,1.66562,1.95207,1.25587,0.62537,0.54199,0.51269,0.21606,2.11104,2.83232,1.53115,0.000995156,0.000995156,0.000995156
48,836.016,1.64872,1.92976,1.26368,0.50288,0.51245,0.48371,0.20328,2.18179,2.81969,1.54999,0.000985724,0.000985724,0.000985724
