epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9888,2.25839,5.44298,1.76467,0.15024,0.22144,0.09239,0.02846,2.37185,5.17821,1.92627,0.000474168,0.000474168,0.000474168
2,77.2055,2.08713,4.16963,1.64186,0.28688,0.29737,0.18346,0.0614,2.34513,3.95571,1.90298,0.000944228,0.000944228,0.000944228
3,112.099,2.10729,3.85321,1.63351,0.17218,0.24961,0.13979,0.04723,2.35553,3.90223,1.88132,0.001408,0.001408,0.001408
4,149.518,2.07208,3.57959,1.62088,0.34262,0.27491,0.22337,0.0782,2.23758,3.82562,1.80848,0.00140071,0.00140071,0.00140071
5,182.934,2.04908,3.38778,1.60984,0.37306,0.36066,0.28422,0.08275,2.2947,3.59821,1.77061,0.00139127,0.00139127,0.00139127
6,216.375,2.01891,3.28596,1.55912,0.28446,0.39035,0.27814,0.09599,2.27355,3.90535,1.91101,0.00138184,0.00138184,0.00138184
7,250.359,1.98453,3.23423,1.59241,0.31177,0.42778,0.26139,0.08909,2.14585,3.59272,1.74882,0.00137241,0.00137241,0.00137241
8,282.835,1.96115,3.06369,1.54992,0.48506,0.38809,0.36722,0.12333,2.18304,3.38636,1.75183,0.00136298,0.00136298,0.00136298
9,316.553,1.96418,3.01837,1.52199,0.40537,0.42292,0.34964,0.12248,2.18561,3.3821,1.77329,0.00135355,0.00135355,0.00135355
10,352.888,1.91782,2.94898,1.51782,0.40207,0.40856,0.33715,0.13448,2.18596,3.2951,1.77311,0.00134412,0.00134412,0.00134412
11,390.925,1.92399,2.97047,1.53154,0.45525,0.38727,0.35094,0.12964,2.13639,3.30859,1.72828,0.00133469,0.00133469,0.00133469
12,426.292,1.91183,2.85692,1.5372,0.35959,0.46479,0.34031,0.11183,2.22779,3.46826,1.82991,0.00132525,0.00132525,0.00132525
13,460.43,1.89522,2.8584,1.50851,0.42625,0.48231,0.40613,0.16652,2.11491,3.14795,1.71855,0.00131582,0.00131582,0.00131582
14,490.708,1.88693,2.79572,1.49072,0.43477,0.46872,0.40887,0.16395,2.07944,3.43235,1.66476,0.00130639,0.00130639,0.00130639
15,526.259,1.86603,2.79607,1.52258,0.42565,0.41943,0.34197,0.13434,2.15381,3.28633,1.73654,0.00129696,0.00129696,0.00129696
16,560.633,1.88845,2.7739,1.48767,0.46439,0.44848,0.41329,0.15679,2.1511,3.21669,1.7368,0.00128753,0.00128753,0.00128753
17,594.824,1.85734,2.78413,1.48435,0.47676,0.50436,0.40011,0.1661,2.07849,3.12754,1.73029,0.0012781,0.0012781,0.0012781
18,628.187,1.8275,2.74787,1.47079,0.5012,0.44418,0.4152,0.16471,2.12885,3.16988,1.68317,0.00126867,0.00126867,0.00126867
19,661.951,1.88103,2.71316,1.46478,0.5113,0.45054,0.42449,0.16735,2.15168,3.10477,1.71903,0.00125923,0.00125923,0.00125923
20,695.679,1.85992,2.70273,1.48051,0.48449,0.45781,0.45258,0.17784,2.07083,3.08486,1.64245,0.0012498,0.0012498,0.0012498
21,729.122,1.87463,2.66381,1.44036,0.5555,0.45791,0.45966,0.17405,2.12141,3.08443,1.71293,0.00124037,0.00124037,0.00124037
22,761.527,1.86397,2.67105,1.47443,0.48359,0.45911,0.39877,0.14299,2.26841,3.33456,1.88939,0.00123094,0.00123094,0.00123094
23,794.492,1.85627,2.6707,1.45824,0.57278,0.44219,0.44031,0.15628,2.15818,3.16995,1.75067,0.00122151,0.00122151,0.00122151
24,828.649,1.8409,2.62634,1.46433,0.464,0.45029,0.38819,0.13688,2.14823,3.19511,1.75333,0.00121208,0.00121208,0.00121208
25,862.135,1.82395,2.65279,1.44516,0.44719,0.50866,0.42621,0.17062,2.1033,2.9885,1.67821,0.00120265,0.00120265,0.00120265
26,895.872,1.82171,2.57327,1.43341,0.52597,0.45969,0.41945,0.16923,2.14996,3.19776,1.7327,0.00119322,0.00119322,0.00119322
27,929.742,1.8082,2.54612,1.4343,0.50021,0.47751,0.4626,0.17348,2.11141,3.11387,1.71873,0.00118378,0.00118378,0.00118378
28,963.803,1.80012,2.57488,1.42669,0.45654,0.44992,0.3801,0.1491,2.14671,3.45485,1.75753,0.00117435,0.00117435,0.00117435
29,996.329,1.80756,2.57653,1.4284,0.5499,0.47553,0.47506,0.16957,2.20584,3.12479,1.81398,0.00116492,0.00116492,0.00116492
30,1026.8,1.80657,2.52242,1.42243,0.51472,0.47726,0.43209,0.16787,2.0938,2.98519,1.67769,0.00115549,0.00115549,0.00115549
31,1060.43,1.80883,2.5273,1.41163,0.55092,0.45678,0.47593,0.19064,2.09553,2.98253,1.69021,0.00114606,0.00114606,0.00114606
32,1094.03,1.80933,2.49428,1.38944,0.58677,0.52351,0.50488,0.21041,2.08838,2.90632,1.6717,0.00113663,0.00113663,0.00113663
33,1128.57,1.80583,2.51545,1.43126,0.55835,0.48277,0.45131,0.1724,2.15105,3.14317,1.75358,0.0011272,0.0011272,0.0011272
34,1162.28,1.7809,2.54019,1.415,0.51215,0.52093,0.45454,0.16418,2.09155,3.00349,1.70207,0.00111776,0.00111776,0.00111776
35,1195.94,1.77662,2.45544,1.40311,0.53589,0.49031,0.47445,0.18052,2.09116,2.97243,1.70414,0.00110833,0.00110833,0.00110833
36,1229.5,1.75911,2.43116,1.41813,0.5378,0.45379,0.45088,0.17867,2.13837,3.11441,1.70291,0.0010989,0.0010989,0.0010989
37,1262.76,1.75931,2.41163,1.4121,0.55225,0.48349,0.49112,0.19063,2.04666,3.17635,1.6431,0.00108947,0.00108947,0.00108947
38,1299.32,1.77692,2.44063,1.38978,0.50558,0.48368,0.44733,0.16936,2.06887,2.96812,1.64888,0.00108004,0.00108004,0.00108004
39,1332.19,1.76546,2.40452,1.39603,0.52379,0.51336,0.46941,0.20158,2.07499,2.90432,1.65234,0.00107061,0.00107061,0.00107061
40,1365.91,1.74714,2.42153,1.40685,0.57606,0.46866,0.44776,0.1789,2.15723,3.03593,1.72808,0.00106118,0.00106118,0.00106118
41,1398.71,1.7563,2.37419,1.38567,0.41318,0.43359,0.36648,0.14287,2.21962,3.20265,1.77892,0.00105174,0.00105174,0.00105174
42,1431.69,1.75986,2.35442,1.38379,0.54363,0.47339,0.45096,0.1707,2.17931,2.93723,1.74447,0.00104231,0.00104231,0.00104231
43,1461.95,1.74959,2.33874,1.37614,0.52998,0.53544,0.48313,0.1859,2.13444,2.90506,1.71783,0.00103288,0.00103288,0.00103288
44,1493.96,1.74544,2.38472,1.38836,0.54202,0.48113,0.44403,0.17492,2.09647,3.02057,1.66591,0.00102345,0.00102345,0.00102345
45,1526.68,1.74825,2.3127,1.37828,0.55639,0.52954,0.51325,0.22618,2.05761,2.81503,1.64803,0.00101402,0.00101402,0.00101402
46,1558.42,1.72408,2.30377,1.37331,0.5817,0.46049,0.45396,0.17852,2.1536,3.01702,1.72507,0.00100459,0.00100459,0.00100459
47,1589.63,1.75106,2.29085,1.38396,0.5416,0.45647,0.45686,0.1956,2.12647,3.0952,1.6461,0.000995156,0.000995156,0.000995156
48,1641.81,1.74001,2.30158,1.3916,0.49413,0.47754,0.45961,0.16989,2.12698,2.98953,1.72989,0.000985724,0.000985724,0.000985724
49,1675.39,1.74378,2.29197,1.36247,0.60166,0.50764,0.51544,0.2098,2.11727,2.85003,1.74522,0.000976293,0.000976293,0.000976293
50,1708.92,1.71493,2.25538,1.36036,0.54143,0.50715,0.48706,0.19197,2.16229,2.97821,1.72627,0.000966861,0.000966861,0.000966861
51,1738.49,1.71103,2.20471,1.35695,0.57969,0.49956,0.50882,0.20795,2.18805,2.89257,1.6913,0.00095743,0.00095743,0.00095743
52,1772.82,1.72575,2.26869,1.38531,0.58468,0.51303,0.47465,0.17981,2.11311,2.99906,1.7091,0.000947999,0.000947999,0.000947999
53,1806.42,1.72257,2.21299,1.35616,0.58346,0.50442,0.51164,0.21879,2.08054,2.81492,1.6479,0.000938567,0.000938567,0.000938567
54,1838.26,1.72719,2.21546,1.36035,0.54011,0.48992,0.47954,0.20075,2.17142,2.80894,1.69851,0.000929136,0.000929136,0.000929136
