epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,750.734,1.60382,1.2104,1.22515,0.59636,0.47164,0.50822,0.21714,2.17428,1.86519,1.54688,0.00104231,0.00104231,0.00104231
43,767.782,1.62077,1.24016,1.23505,0.60862,0.51137,0.54242,0.23024,2.19318,1.85471,1.59587,0.00103288,0.00103288,0.00103288
44,785.193,1.604,1.21231,1.23754,0.54432,0.4358,0.4416,0.18002,2.33123,2.03597,1.64736,0.00102345,0.00102345,0.00102345
45,801.942,1.60002,1.20133,1.22683,0.55881,0.5491,0.53483,0.24269,2.15232,1.68196,1.58572,0.00101402,0.00101402,0.00101402
46,819.826,1.58363,1.17777,1.21902,0.67972,0.50133,0.5472,0.24386,2.18398,1.75966,1.57094,0.00100459,0.00100459,0.00100459
47,836.952,1.60776,1.18412,1.2109,0.66499,0.43349,0.50283,0.2445,2.17482,1.87686,1.56687,0.000995156,0.000995156,0.000995156
48,854.876,1.58171,1.16342,1.20305,0.57288,0.45449,0.46195,0.20488,2.36173,2.01363,1.63765,0.000985724,0.000985724,0.000985724
49,871.948,1.61758,1.17976,1.21529,0.60748,0.50277,0.51702,0.21896,2.26698,1.85146,1.59722,0.000976293,0.000976293,0.000976293
50,889.722,1.58786,1.17148,1.20894,0.58987,0.55621,0.54378,0.23704,2.14665,1.88502,1.57173,0.000966861,0.000966861,0.000966861
51,906.646,1.57092,1.15009,1.21648,0.58321,0.48916,0.4928,0.20672,2.2929,1.88747,1.61003,0.00095743,0.00095743,0.00095743
52,923.651,1.56925,1.1469,1.20392,0.64824,0.54739,0.55713,0.24515,2.23493,1.76802,1.57549,0.000947999,0.000947999,0.000947999
53,941.669,1.56655,1.13246,1.20435,0.69851,0.51581,0.58197,0.25535,2.27573,1.81034,1.60382,0.000938567,0.000938567,0.000938567
54,958.709,1.52673,1.09666,1.19485,0.62736,0.47897,0.51032,0.22307,2.21941,1.98712,1.58259,0.000929136,0.000929136,0.000929136
55,977.328,1.53358,1.10298,1.19578,0.64995,0.53546,0.56596,0.24551,2.13052,1.76092,1.5802,0.000919704,0.000919704,0.000919704
56,995.509,1.51914,1.09557,1.18658,0.64607,0.50538,0.53343,0.22285,2.24769,1.78953,1.59265,0.000910273,0.000910273,0.000910273
57,1013.61,1.52531,1.07862,1.17565,0.57118,0.5081,0.51467,0.21783,2.33556,2.06771,1.64581,0.000900842,0.000900842,0.000900842
58,1030.75,1.51952,1.09131,1.19196,0.63811,0.4306,0.49496,0.21282,2.24659,1.99111,1.58411,0.00089141,0.00089141,0.00089141
59,1047.97,1.53374,1.09672,1.18106,0.55896,0.54553,0.52848,0.24081,2.20443,1.79382,1.56157,0.000881979,0.000881979,0.000881979
60,1065.94,1.54221,1.0815,1.17761,0.62538,0.51333,0.51184,0.22007,2.30106,1.89474,1.63207,0.000872547,0.000872547,0.000872547
61,1083.2,1.50307,1.06317,1.18855,0.65821,0.51781,0.55965,0.23929,2.26619,1.80605,1.60586,0.000863116,0.000863116,0.000863116
62,1101.37,1.52029,1.06785,1.17736,0.61682,0.55117,0.55558,0.25658,2.23768,1.78462,1.59293,0.000853685,0.000853685,0.000853685
63,1118.34,1.52078,1.0516,1.18109,0.61898,0.4801,0.51074,0.22738,2.19818,1.84767,1.57759,0.000844253,0.000844253,0.000844253
64,1136.2,1.49647,1.03527,1.18169,0.61115,0.53219,0.51757,0.22304,2.30746,1.86331,1.61654,0.000834822,0.000834822,0.000834822
65,1153.51,1.51376,1.03398,1.17172,0.56915,0.50579,0.51323,0.22166,2.27582,1.92631,1.61837,0.00082539,0.00082539,0.00082539
66,1171.27,1.47957,1.01719,1.16145,0.62177,0.5209,0.52388,0.22516,2.29894,1.90505,1.64426,0.000815959,0.000815959,0.000815959
67,1188.56,1.49063,1.02671,1.1744,0.62638,0.51537,0.53308,0.23227,2.21429,1.8451,1.64159,0.000806528,0.000806528,0.000806528
68,1205.77,1.47701,1.02048,1.16406,0.689,0.52492,0.55547,0.24067,2.22811,1.8203,1.59954,0.000797096,0.000797096,0.000797096
69,1223.56,1.43639,1.00532,1.17124,0.60049,0.48037,0.47317,0.2087,2.33182,1.97934,1.64505,0.000787665,0.000787665,0.000787665
70,1240.72,1.45402,0.98217,1.14954,0.57351,0.56738,0.54143,0.23971,2.20598,1.77022,1.56975,0.000778233,0.000778233,0.000778233
71,1258.65,1.47801,0.99341,1.14674,0.62324,0.51266,0.52374,0.23984,2.20806,1.86902,1.60455,0.000768802,0.000768802,0.000768802
72,1276.11,1.48705,1.00293,1.15641,0.55855,0.5416,0.52466,0.22297,2.23452,1.77986,1.62766,0.000759371,0.000759371,0.000759371
73,1294.15,1.46014,0.97703,1.14649,0.62166,0.51321,0.50461,0.2273,2.23292,1.84234,1.64873,0.000749939,0.000749939,0.000749939
74,1311.16,1.43965,0.96494,1.14162,0.6294,0.57227,0.58627,0.24502,2.1797,1.76391,1.58153,0.000740508,0.000740508,0.000740508
